time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
1.670000000000000000e+02,1.495100000000000051e+01,1.670000000000000000e+02,2.186899999999999977e+01,1.670000000000000000e+02,2.869000000000000128e+01
1.680000000000000000e+02,1.485100000000000087e+01,1.680000000000000000e+02,2.176899999999999835e+01,1.680000000000000000e+02,2.858999999999999986e+01
1.690000000000000000e+02,1.485100000000000087e+01,1.690000000000000000e+02,2.176899999999999835e+01,1.690000000000000000e+02,2.858999999999999986e+01
1.700000000000000000e+02,1.475099999999999945e+01,1.700000000000000000e+02,2.166900000000000048e+01,1.700000000000000000e+02,2.839000000000000057e+01
1.710000000000000000e+02,1.475099999999999945e+01,1.710000000000000000e+02,2.156899999999999906e+01,1.710000000000000000e+02,2.828999999999999915e+01
1.720000000000000000e+02,1.475099999999999945e+01,1.720000000000000000e+02,2.166900000000000048e+01,1.720000000000000000e+02,2.828999999999999915e+01
1.730000000000000000e+02,1.475099999999999945e+01,1.730000000000000000e+02,2.156899999999999906e+01,1.730000000000000000e+02,2.819000000000000128e+01
1.740000000000000000e+02,1.485100000000000087e+01,1.740000000000000000e+02,2.166900000000000048e+01,1.740000000000000000e+02,2.828999999999999915e+01
1.750000000000000000e+02,1.475099999999999945e+01,1.750000000000000000e+02,2.146900000000000119e+01,1.750000000000000000e+02,2.808999999999999986e+01
1.760000000000000000e+02,1.475099999999999945e+01,1.760000000000000000e+02,2.146900000000000119e+01,1.760000000000000000e+02,2.808999999999999986e+01
1.770000000000000000e+02,1.455100000000000016e+01,1.770000000000000000e+02,2.146900000000000119e+01,1.770000000000000000e+02,2.798999999999999844e+01
1.780000000000000000e+02,1.455100000000000016e+01,1.780000000000000000e+02,2.146900000000000119e+01,1.780000000000000000e+02,2.798999999999999844e+01
1.790000000000000000e+02,1.455100000000000016e+01,1.790000000000000000e+02,2.136899999999999977e+01,1.790000000000000000e+02,2.798999999999999844e+01
1.800000000000000000e+02,1.465099999999999980e+01,1.800000000000000000e+02,2.146900000000000119e+01,1.800000000000000000e+02,2.808999999999999986e+01
1.810000000000000000e+02,1.455100000000000016e+01,1.810000000000000000e+02,2.116900000000000048e+01,1.810000000000000000e+02,2.778999999999999915e+01
1.820000000000000000e+02,1.455100000000000016e+01,1.820000000000000000e+02,2.126899999999999835e+01,1.820000000000000000e+02,2.769000000000000128e+01
1.830000000000000000e+02,1.445100000000000051e+01,1.830000000000000000e+02,2.126899999999999835e+01,1.830000000000000000e+02,2.769000000000000128e+01
1.840000000000000000e+02,1.445100000000000051e+01,1.840000000000000000e+02,2.126899999999999835e+01,1.840000000000000000e+02,2.758999999999999986e+01
1.850000000000000000e+02,1.435100000000000087e+01,1.850000000000000000e+02,2.116900000000000048e+01,1.850000000000000000e+02,2.758999999999999986e+01
1.860000000000000000e+02,1.445100000000000051e+01,1.860000000000000000e+02,2.116900000000000048e+01,1.860000000000000000e+02,2.758999999999999986e+01
1.870000000000000000e+02,1.445100000000000051e+01,1.870000000000000000e+02,2.116900000000000048e+01,1.870000000000000000e+02,2.748999999999999844e+01
1.880000000000000000e+02,1.445100000000000051e+01,1.880000000000000000e+02,2.106899999999999906e+01,1.880000000000000000e+02,2.748999999999999844e+01
1.890000000000000000e+02,1.455100000000000016e+01,1.890000000000000000e+02,2.106899999999999906e+01,1.890000000000000000e+02,2.748999999999999844e+01
1.900000000000000000e+02,1.445100000000000051e+01,1.900000000000000000e+02,2.096900000000000119e+01,1.900000000000000000e+02,2.748999999999999844e+01
1.910000000000000000e+02,1.455100000000000016e+01,1.910000000000000000e+02,2.106899999999999906e+01,1.910000000000000000e+02,2.739000000000000057e+01
1.920000000000000000e+02,1.445100000000000051e+01,1.920000000000000000e+02,2.086899999999999977e+01,1.920000000000000000e+02,2.739000000000000057e+01
1.930000000000000000e+02,1.445100000000000051e+01,1.930000000000000000e+02,2.096900000000000119e+01,1.930000000000000000e+02,2.739000000000000057e+01
1.940000000000000000e+02,1.435100000000000087e+01,1.940000000000000000e+02,2.086899999999999977e+01,1.940000000000000000e+02,2.728999999999999915e+01
1.950000000000000000e+02,1.445100000000000051e+01,1.950000000000000000e+02,2.096900000000000119e+01,1.950000000000000000e+02,2.728999999999999915e+01
1.960000000000000000e+02,1.455100000000000016e+01,1.960000000000000000e+02,2.106899999999999906e+01,1.960000000000000000e+02,2.739000000000000057e+01
1.970000000000000000e+02,1.435100000000000087e+01,1.970000000000000000e+02,2.086899999999999977e+01,1.970000000000000000e+02,2.719000000000000128e+01
1.980000000000000000e+02,1.435100000000000087e+01,1.980000000000000000e+02,2.096900000000000119e+01,1.980000000000000000e+02,2.719000000000000128e+01
1.990000000000000000e+02,1.445100000000000051e+01,1.990000000000000000e+02,2.096900000000000119e+01,1.990000000000000000e+02,2.719000000000000128e+01
2.000000000000000000e+02,1.445100000000000051e+01,2.000000000000000000e+02,2.096900000000000119e+01,2.000000000000000000e+02,2.719000000000000128e+01
2.010000000000000000e+02,1.445100000000000051e+01,2.010000000000000000e+02,2.086899999999999977e+01,2.010000000000000000e+02,2.708999999999999986e+01
2.020000000000000000e+02,1.445100000000000051e+01,2.020000000000000000e+02,2.086899999999999977e+01,2.020000000000000000e+02,2.719000000000000128e+01
2.030000000000000000e+02,1.445100000000000051e+01,2.030000000000000000e+02,2.076899999999999835e+01,2.030000000000000000e+02,2.719000000000000128e+01
