time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
1.770000000000000000e+02,7.709999999999999964e+00,1.770000000000000000e+02,1.248099999999999987e+01,1.770000000000000000e+02,1.828699999999999903e+01
1.780000000000000000e+02,7.709999999999999964e+00,1.780000000000000000e+02,1.238100000000000023e+01,1.780000000000000000e+02,1.818700000000000117e+01
1.790000000000000000e+02,7.610000000000000320e+00,1.790000000000000000e+02,1.248099999999999987e+01,1.790000000000000000e+02,1.828699999999999903e+01
1.800000000000000000e+02,7.509999999999999787e+00,1.800000000000000000e+02,1.238100000000000023e+01,1.800000000000000000e+02,1.808699999999999974e+01
1.810000000000000000e+02,7.610000000000000320e+00,1.810000000000000000e+02,1.228100000000000058e+01,1.810000000000000000e+02,1.798699999999999832e+01
1.820000000000000000e+02,7.610000000000000320e+00,1.820000000000000000e+02,1.218099999999999916e+01,1.820000000000000000e+02,1.798699999999999832e+01
1.830000000000000000e+02,7.610000000000000320e+00,1.830000000000000000e+02,1.238100000000000023e+01,1.830000000000000000e+02,1.798699999999999832e+01
1.840000000000000000e+02,7.610000000000000320e+00,1.840000000000000000e+02,1.238100000000000023e+01,1.840000000000000000e+02,1.798699999999999832e+01
1.850000000000000000e+02,7.610000000000000320e+00,1.850000000000000000e+02,1.228100000000000058e+01,1.850000000000000000e+02,1.798699999999999832e+01
1.860000000000000000e+02,7.509999999999999787e+00,1.860000000000000000e+02,1.228100000000000058e+01,1.860000000000000000e+02,1.778699999999999903e+01
1.870000000000000000e+02,7.610000000000000320e+00,1.870000000000000000e+02,1.228100000000000058e+01,1.870000000000000000e+02,1.788700000000000045e+01
1.880000000000000000e+02,7.509999999999999787e+00,1.880000000000000000e+02,1.228100000000000058e+01,1.880000000000000000e+02,1.788700000000000045e+01
1.890000000000000000e+02,7.709999999999999964e+00,1.890000000000000000e+02,1.238100000000000023e+01,1.890000000000000000e+02,1.798699999999999832e+01
1.900000000000000000e+02,7.610000000000000320e+00,1.900000000000000000e+02,1.218099999999999916e+01,1.900000000000000000e+02,1.788700000000000045e+01
1.910000000000000000e+02,7.610000000000000320e+00,1.910000000000000000e+02,1.218099999999999916e+01,1.910000000000000000e+02,1.788700000000000045e+01
1.920000000000000000e+02,7.509999999999999787e+00,1.920000000000000000e+02,1.208099999999999952e+01,1.920000000000000000e+02,1.778699999999999903e+01
1.930000000000000000e+02,7.509999999999999787e+00,1.930000000000000000e+02,1.218099999999999916e+01,1.930000000000000000e+02,1.778699999999999903e+01
1.940000000000000000e+02,7.509999999999999787e+00,1.940000000000000000e+02,1.198099999999999987e+01,1.940000000000000000e+02,1.758699999999999974e+01
1.950000000000000000e+02,7.509999999999999787e+00,1.950000000000000000e+02,1.218099999999999916e+01,1.950000000000000000e+02,1.778699999999999903e+01
1.960000000000000000e+02,7.410000000000000142e+00,1.960000000000000000e+02,1.208099999999999952e+01,1.960000000000000000e+02,1.768700000000000117e+01
1.970000000000000000e+02,7.410000000000000142e+00,1.970000000000000000e+02,1.208099999999999952e+01,1.970000000000000000e+02,1.768700000000000117e+01
1.980000000000000000e+02,7.410000000000000142e+00,1.980000000000000000e+02,1.198099999999999987e+01,1.980000000000000000e+02,1.758699999999999974e+01
1.990000000000000000e+02,7.309999999999999609e+00,1.990000000000000000e+02,1.198099999999999987e+01,1.990000000000000000e+02,1.758699999999999974e+01
2.000000000000000000e+02,7.410000000000000142e+00,2.000000000000000000e+02,1.198099999999999987e+01,2.000000000000000000e+02,1.758699999999999974e+01
2.010000000000000000e+02,7.410000000000000142e+00,2.010000000000000000e+02,1.198099999999999987e+01,2.010000000000000000e+02,1.758699999999999974e+01
2.020000000000000000e+02,7.309999999999999609e+00,2.020000000000000000e+02,1.188100000000000023e+01,2.020000000000000000e+02,1.748699999999999832e+01
2.030000000000000000e+02,7.410000000000000142e+00,2.030000000000000000e+02,1.188100000000000023e+01,2.030000000000000000e+02,1.748699999999999832e+01
